"ubigeo","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
612,3.53439010209203e-05,3.6418733243845e-05,3.71672417514663e-05,4.13662691861096e-05,3.50155604140851e-05,3.71207810181927e-05
613,3.68908493968858e-05,3.84062001946946e-05,3.93440832787831e-05,4.32731869835142e-05,3.71333993145436e-05,3.9364463192805e-05
802,3.81796566671887e-05,3.97335150504892e-05,3.81863982566113e-05,4.29474739988994e-05,3.8265703060164e-05,4.16795070703429e-05
803,3.71846585278901e-05,3.88388014379426e-05,3.72396739526846e-05,4.17908117571687e-05,3.63856326514807e-05,3.91082466606136e-05
804,3.66440640739166e-05,3.82761712272885e-05,3.6858284828158e-05,4.10320012072525e-05,3.58845698452065e-05,3.86479968638055e-05
805,3.85526773172668e-05,4.00941397163247e-05,3.86392393743535e-05,4.31704489100053e-05,3.93710707480334e-05,4.3099275252191e-05
806,3.70979212038002e-05,3.86654264260308e-05,3.70119033747022e-05,4.16760364686463e-05,3.72264033551803e-05,4.07727010324499e-05
807,3.94614660845636e-05,4.10846012368643e-05,3.96962889592188e-05,4.40978931017028e-05,3.97385135355744e-05,4.29701741421257e-05
801,3.98909001728633e-05,4.10770530738731e-05,3.94703220570054e-05,4.40653781729593e-05,3.97444728402693e-05,4.28005814536533e-05
808,4.01791429877385e-05,4.15484112897432e-05,4.01803006053609e-05,4.54886248358324e-05,4.13533729567957e-05,4.45359063081804e-05
809,3.69915413277263e-05,3.88987554278135e-05,3.78105292817807e-05,4.22553196207664e-05,3.65466879079675e-05,3.94611378349655e-05
810,3.88353796800511e-05,4.04246602294562e-05,3.88977898111813e-05,4.33771172605672e-05,3.87031069259323e-05,4.18573889954234e-05
811,3.69783046444206e-05,3.88174184397954e-05,3.73707633408218e-05,4.14831704826866e-05,3.66644562976609e-05,3.97564816682181e-05
812,3.73396015677507e-05,3.9171671014379e-05,3.78681180728902e-05,4.19987455675438e-05,3.73725099747964e-05,4.0505312023994e-05
813,3.62717190056154e-05,3.80631068655456e-05,3.64783501461708e-05,4.06935534300139e-05,3.5666426378215e-05,3.83836400393553e-05
902,3.72336225081372e-05,3.938672898119e-05,3.81152099497619e-05,4.25799525870414e-05,3.68849431704137e-05,3.93646705156647e-05
903,3.74163738872824e-05,3.93343505735846e-05,3.80207492475346e-05,4.26029159779198e-05,3.70364393739248e-05,3.96277184185249e-05
904,3.78955312606836e-05,3.92906003094611e-05,3.81686465835827e-05,4.26801737439988e-05,3.67989475161478e-05,3.95953040835363e-05
905,3.68693922335024e-05,3.89450489661206e-05,3.75059892808706e-05,4.20792355654002e-05,3.65262742775752e-05,3.88885370829333e-05
901,3.69500397150643e-05,3.87826981293385e-05,3.74664017523482e-05,4.20983149259409e-05,3.65322219133751e-05,3.89899762794584e-05
906,3.85663370339991e-05,3.98096152876738e-05,3.86734534902921e-05,4.31135857638765e-05,3.72703936567423e-05,4.02051203407717e-05
907,3.69593152654439e-05,3.92216017262495e-05,3.7836565747202e-05,4.23278037964039e-05,3.68417454919942e-05,3.91580588130534e-05
1002,3.53156741223305e-05,3.69710353947363e-05,3.65518417620007e-05,4.12011254008189e-05,3.49522783067441e-05,3.7531966971517e-05
1003,3.4514139063941e-05,3.60836016593146e-05,3.60918398971836e-05,4.05506944262346e-05,3.46181417686019e-05,3.70833533130896e-05
1004,3.37546202915049e-05,3.55559687326663e-05,3.5640529484024e-05,3.99294305728305e-05,3.43078674927974e-05,3.65456915165479e-05
1005,3.48882881052149e-05,3.66084124120568e-05,3.66204419295771e-05,4.12505602982738e-05,3.55690884294561e-05,3.78230512652123e-05
