"UBIGEO","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
"100404",3.33633530884336e-05,3.51414797251371e-05,3.53297024761957e-05,3.94329211503361e-05,3.38238709624636e-05,3.61475883997698e-05
"100501",3.53990491005096e-05,3.68012427757194e-05,3.7003937531567e-05,4.19677759864197e-05,3.61967478250384e-05,3.8601788373137e-05
"100502",3.44664184621358e-05,3.63079879328099e-05,3.62726291222288e-05,4.07910949245565e-05,3.52102894319085e-05,3.73127341869953e-05
"100503",3.48749178448671e-05,3.669167900476e-05,3.66047834295767e-05,4.09815070645171e-05,3.60145153738675e-05,3.8053799724264e-05
"100504",3.42244970511646e-05,3.60213172094586e-05,3.61056854216366e-05,4.04344322732664e-05,3.45025234375639e-05,3.70557429142505e-05
"100505",3.37652828692729e-05,3.57056450318492e-05,3.55104949080497e-05,4.01564119826027e-05,3.4483409828957e-05,3.65350032539612e-05
"100506",3.424027148786e-05,3.58702574913685e-05,3.59567402793552e-05,4.04783220275137e-05,3.49061903141981e-05,3.74927675095795e-05
"100507",3.5349738883687e-05,3.70662547236479e-05,3.70678562252172e-05,4.1729674750152e-05,3.60603570338015e-05,3.82561246098596e-05
"100508",3.44655060812847e-05,3.63974257872371e-05,3.64801252373156e-05,4.07807152038191e-05,3.57036069634214e-05,3.78522836119335e-05
"100509",3.46853776152813e-05,3.62227222058515e-05,3.649463107187e-05,4.10510745981696e-05,3.57701913231038e-05,3.81713079922631e-05
"100510",3.37680109904033e-05,3.55405684494688e-05,3.55978703447368e-05,4.01215669074996e-05,3.45964901598802e-05,3.68302302354827e-05
"100511",3.4480464484776e-05,3.63858170906288e-05,3.61949849012367e-05,4.06965816429383e-05,3.46519740734075e-05,3.69118819446919e-05
"100601",3.6182021823599e-05,3.78093241022645e-05,3.78744251714592e-05,4.26422510811699e-05,3.64307939404909e-05,3.87910992254436e-05
"100602",3.57375512184198e-05,3.74538790472933e-05,3.75373102085236e-05,4.19566046209147e-05,3.56832335577426e-05,3.79933949945738e-05
"100603",3.51964164625869e-05,3.69849335572978e-05,3.69735307631862e-05,4.16641282887963e-05,3.514577372011e-05,3.7726084200226e-05
"100604",3.53293018963676e-05,3.70407542453381e-05,3.70513015795203e-05,4.16050154548113e-05,3.51226252888606e-05,3.79451835421255e-05
"100605",3.65663295142993e-05,3.80829724797733e-05,3.81583266597048e-05,4.30228902948422e-05,3.64968601492733e-05,3.95258560409306e-05
"100606",3.62340161501021e-05,3.7969487697992e-05,3.77855574376616e-05,4.25488370657847e-05,3.62948049624541e-05,3.89401079761185e-05
"100607",3.47420149735651e-05,3.6563500476073e-05,3.64974641758003e-05,4.10950678379752e-05,3.43334890900093e-05,3.68991453088928e-05
"100608",3.6516204234146e-05,3.80762073185615e-05,3.82213717520706e-05,4.2916539273682e-05,3.65882034243092e-05,3.91360687881097e-05
"100609",3.50442387026313e-05,3.68760203224255e-05,3.66690010117273e-05,4.1468472318166e-05,3.47320427620061e-05,3.74231868610389e-05
"100610",3.56834995837492e-05,3.75676971340122e-05,3.73516621989038e-05,4.21299740968608e-05,3.50462490417105e-05,3.82720026214819e-05
"100701",3.35857241798682e-05,3.52109915428441e-05,3.55488340922384e-05,3.98158594053113e-05,3.42860422810601e-05,3.59008864659302e-05
"100702",3.42374308005794e-05,3.59832970659288e-05,3.62686442304075e-05,4.05520247856666e-05,3.47507273313873e-05,3.68382012922573e-05
"100703",3.37889565266825e-05,3.53389155650366e-05,3.57953153061468e-05,3.99613841735571e-05,3.4550219810324e-05,3.65656538394287e-05
"100704",3.48680460392894e-05,3.64296786128431e-05,3.662040431234e-05,4.09539550698129e-05,3.46978646881293e-05,3.73606349626698e-05
"100705",3.43015806669391e-05,3.60252874746097e-05,3.62696376791291e-05,4.06582427657918e-05,3.46188048620594e-05,3.7045270636478e-05
"100801",3.46535462937503e-05,3.64367308602123e-05,3.57674867668781e-05,4.01207333419837e-05,3.40958598680188e-05,3.64356539919965e-05
"100802",3.49190262411711e-05,3.66734243697533e-05,3.63043608587282e-05,4.09549405752246e-05,3.46526430362545e-05,3.69338444486706e-05
"100803",3.52338935524733e-05,3.70865797408406e-05,3.63831081623414e-05,4.10228688358304e-05,3.51154425689823e-05,3.75165455960333e-05
"100804",3.65896736159711e-05,3.84847493658771e-05,3.8075355413523e-05,4.28266763480739e-05,3.64209550696768e-05,3.88525006953617e-05
"100901",3.83208247638765e-05,3.96224356670961e-05,3.99277618334513e-05,4.47785116460269e-05,3.79297806309648e-05,4.0325564361753e-05
"100902",3.6608315468549e-05,3.79868543159095e-05,3.80996958739884e-05,4.24530369017589e-05,3.5987069582085e-05,3.8103711273048e-05
"100903",3.77071727730163e-05,3.90377877010998e-05,4.0449819743799e-05,4.58250024303096e-05,3.86562136010954e-05,4.19780513535052e-05
"100904",3.85736393540594e-05,4.00328830693568e-05,4.09504964443128e-05,4.5903996424447e-05,3.92855509452006e-05,4.15381734941127e-05
"100905",3.78292431017511e-05,3.92039255739061e-05,3.92731589627253e-05,4.40722697273498e-05,3.70558945814177e-05,3.9170371347016e-05
"101001",3.52973363992874e-05,3.69149981187183e-05,3.64161882700117e-05,4.11300570622551e-05,3.49041031957437e-05,3.73473284681467e-05
"101002",3.4948939530424e-05,3.70249931137325e-05,3.62768659292914e-05,4.079566497489e-05,3.47334699844143e-05,3.7640527447523e-05
"101003",3.48621270522136e-05,3.64973822639188e-05,3.58446492907584e-05,4.06578369702526e-05,3.44877226680304e-05,3.75276752942834e-05
"101004",3.56923413173408e-05,3.75080532258395e-05,3.70139151926302e-05,4.16465336411103e-05,3.54893693215768e-05,3.78644164024855e-05
"101005",3.48047389055436e-05,3.65845717274749e-05,3.63298957841342e-05,4.08043300275484e-05,3.43341447629998e-05,3.76287254956918e-05
