ubigeo,no2_mean_2019,no2_mean_2020,no2_mean_2021,no2_mean_2022,no2_mean_2023,no2_mean_2024
0508,3.860151959072501e-5,3.994553999346464e-5,3.8460400547099585e-5,4.276566881974974e-5,3.661489471472019e-5,4.004949333847375e-5
0509,3.859134227444075e-5,4.051786162107653e-5,3.9021807192677694e-5,4.330179817611882e-5,3.814131152752098e-5,4.121262468784047e-5
0510,3.7825781417123476e-5,3.98064110233868e-5,3.85549179482269e-5,4.285977519405152e-5,3.7428446050914156e-5,4.028394485446828e-5
0511,3.816127382423899e-5,4.0217379449243034e-5,3.87660158574075e-5,4.3000305907401645e-5,3.7794298043770474e-5,4.042523553026413e-5
0602,3.480648115614714e-5,3.6749877105406246e-5,3.733795700290358e-5,4.1535651259008806e-5,3.5730212750351616e-5,3.753270864796815e-5
0601,3.382275130815357e-5,3.534041671413275e-5,3.613278606336475e-5,4.0094568069102926e-5,3.425655563426981e-5,3.6090933634699935e-5
0603,3.299371134939894e-5,3.484326274868548e-5,3.544270771197079e-5,3.959264052565106e-5,3.3579384997759786e-5,3.538528311185313e-5
0604,3.443336577535353e-5,3.648233632298607e-5,3.719933430856652e-5,4.1388011919863335e-5,3.516484494941038e-5,3.717571783361836e-5
0605,3.850880638238782e-5,4.015963835128291e-5,4.087424088224877e-5,4.50043800979048e-5,3.8463825756596626e-5,4.112685749609274e-5
0606,3.4169156257027965e-5,3.620037741871403e-5,3.7231792175834685e-5,4.150509631167122e-5,3.5321215613167744e-5,3.709501459240215e-5
0607,3.294632957038669e-5,3.4561000459460374e-5,3.5429811978909764e-5,3.927403953119891e-5,3.350727292585273e-5,3.5429746548894836e-5
0608,3.374788521573633e-5,3.561871398584201e-5,3.672502904540446e-5,4.0713356785297034e-5,3.475438814699429e-5,3.668854158169096e-5
0609,3.247568249465848e-5,3.4338683999250776e-5,3.577335052527563e-5,3.9427193375274886e-5,3.3690276192931214e-5,3.5340109939907415e-5
0610,3.264265053997147e-5,3.4644167809304717e-5,3.517565403049667e-5,3.948264959074496e-5,3.3297726836085286e-5,3.5115720729631444e-5
0611,3.59066998392776e-5,3.737588080556256e-5,3.798498017582451e-5,4.208570077624794e-5,3.5558424116106466e-5,3.8301203777553274e-5
0612,3.534390102092031e-5,3.641873324384501e-5,3.716724175146628e-5,4.136626918610961e-5,3.501556041408514e-5,3.712078101819267e-5
0613,3.68908493968858e-5,3.8406200194694573e-5,3.934408327878314e-5,4.327318698351419e-5,3.713339931454356e-5,3.936446319280502e-5
0802,3.8179656667188706e-5,3.9733515050489157e-5,3.818639825661129e-5,4.294747399889944e-5,3.826570306016398e-5,4.16795070703429e-5
0803,3.7184658527890125e-5,3.883880143794258e-5,3.723967395268463e-5,4.1790811757168664e-5,3.638563265148067e-5,3.910824666061356e-5
0804,3.664406407391661e-5,3.8276171227288523e-5,3.685828482815801e-5,4.1032001207252454e-5,3.5884569845206474e-5,3.8647996863805476e-5
0805,3.855267731726683e-5,4.009413971632472e-5,3.863923937435353e-5,4.3170448910005273e-5,3.9371070748033415e-5,4.309927525219102e-5
0806,3.7097921203800234e-5,3.8665426426030815e-5,3.701190337470225e-5,4.167603646864632e-5,3.72264033551803e-5,4.077270103244985e-5
0807,3.946146608456357e-5,4.1084601236864286e-5,3.9696288959218845e-5,4.409789310170276e-5,3.973851353557445e-5,4.2970174142125704e-5
0801,3.989090017286327e-5,4.1077053073873075e-5,3.9470322057005366e-05,4.406537817295932e-5,3.9744472840269256e-5,4.2800581453653336e-5
0808,4.017914298773847e-5,4.1548411289743205e-5,4.0180300605360867e-5,4.548862483583238e-5,4.135337295679568e-5,4.453590630818042e-5
0809,3.699154132772634e-5,3.889875542781354e-5,3.781052928178075e-5,4.2255319620766446e-5,3.654668790796753e-5,3.9461137834965515e-5
0810,3.8835379680051135e-5,4.042466022945619e-5,3.889778981118129e-5,4.337711726056724e-5,3.870310692593231e-5,4.185738899542337e-5
0811,3.6978304644420595e-5,3.881741843979544e-5,3.737076334082181e-5,4.148317048268658e-5,3.6664456297660904e-5,3.975648166821806e-5
0812,3.733960156775069e-5,3.917167101437895e-5,3.78681180728902e-5,4.199874556754376e-5,3.737250997479645e-5,4.050531202399404e-5
0813,3.627171900561538e-5,3.806310686554562e-5,3.647835014617077e-5,4.069355343001392e-5,3.566642637821496e-5,3.8383640039355305e-5
0902,3.723362250813718e-5,3.9386728981190007e-5,3.811520994976186e-5,4.257995258704142e-5,3.688494317041366e-5,3.9364670515664704e-5
0903,3.741637388728237e-5,3.9334350573584566e-5,3.8020749247534646e-5,4.260291597791977e-5,3.7036439373924826e-5,3.962771841852494e-5
0904,3.789553126068361e-5,3.929060030946108e-5,3.8168646583582666e-5,4.268017374399883e-5,3.6798947516147786e-5,3.959530408353629e-5
0905,3.686939223350245e-5,3.894504896612064e-5,3.750598928087056e-5,4.2079235565400236e-5,3.652627427757519e-5,3.8888537082933335e-5
0901,3.6950039715064296e-5,3.878269812933845e-5,3.746640175234823e-5,4.2098314925940885e-5,3.653222191337506e-5,3.8989976279458435e-5
0906,3.8566337033999115e-5,3.980961528767385e-5,3.867345349029207e-5,4.311358576387651e-5,3.7270393656742295e-5,4.020512034077167e-5
0907,3.695931526544394e-5,3.922160172624945e-5,3.783656574720203e-5,4.2327803796403924e-5,3.6841745491994154e-5,3.915805881305339e-5
1002,3.5315674122330545e-5,3.697103539473632e-5,3.655184176200073e-5,4.1201125400818934e-5,3.49522783067441e-5,3.753196697151696e-5
1003,3.4514139063941e-5,3.6083601659314573e-5,3.609183989718358e-5,4.0550694426234645e-5,3.461814176860188e-5,3.708335331308956e-5
